pickupArea,Percentage
1,0.11
2,0.17
3,0.51
4,0.17
5,0.06
6,1.25
7,0.23
8,6.96
9,0.0
10,0.0
11,0.11
12,0.0
13,0.0
14,0.0
15,0.34
16,0.28
17,0.0
18,0.0
19,0.0
20,0.0
21,0.28
22,0.06
23,0.17
24,0.0
25,0.0
26,0.0
27,0.0
28,2.66
29,0.0
30,0.0
31,0.0
32,12.22
33,1.25
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.11
44,0.06
45,0.06
46,0.11
47,0.0
48,0.06
49,0.0
50,0.06
51,0.06
52,0.0
53,0.11
54,0.0
55,0.0
56,16.13
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.06
63,0.0
64,0.0
65,0.06
66,0.0
67,0.06
68,0.0
69,0.06
70,0.0
71,0.06
72,0.11
73,0.0
74,0.0
75,0.0
76,48.22
77,0.51
78,7.3
