Date,Count
2019-01-01,21
2019-01-02,4
2019-01-03,10
2019-01-04,6
2019-01-05,6
2019-01-06,10
2019-01-07,7
2019-01-08,8
2019-01-09,8
2019-01-10,10
2019-01-11,8
2019-01-12,12
2019-01-13,14
2019-01-14,6
2019-01-15,7
2019-01-16,7
2019-01-17,14
2019-01-18,7
2019-01-19,4
2019-01-20,15
2019-01-21,6
2019-01-22,10
2019-01-23,8
2019-01-24,12
2019-01-25,8
2019-01-26,4
2019-01-27,7
2019-01-28,6
2019-01-29,9
2019-01-30,3
2019-01-31,3
2019-02-01,13
2019-02-02,12
2019-02-03,5
2019-02-04,15
2019-02-05,7
2019-02-06,10
2019-02-07,11
2019-02-08,11
2019-02-09,11
2019-02-10,3
2019-02-11,10
2019-02-12,5
2019-02-13,13
2019-02-14,7
2019-02-15,9
2019-02-16,9
2019-02-17,5
2019-02-18,4
2019-02-19,3
2019-02-20,8
2019-02-21,8
2019-02-22,12
2019-02-23,5
2019-02-24,7
2019-02-25,4
2019-02-26,6
2019-02-27,4
2019-02-28,11
2019-03-01,13
2019-03-02,15
2019-03-03,7
2019-03-04,11
2019-03-05,13
2019-03-06,16
2019-03-07,6
2019-03-08,15
2019-03-09,5
2019-03-10,14
2019-03-11,9
2019-03-12,15
2019-03-13,8
2019-03-14,8
2019-03-15,15
2019-03-16,23
2019-03-17,16
2019-03-18,14
2019-03-19,10
2019-03-20,16
2019-03-21,7
2019-03-22,18
2019-03-23,11
2019-03-24,17
2019-03-25,11
2019-03-26,7
2019-03-27,13
2019-03-28,13
2019-03-29,15
2019-03-30,8
2019-03-31,7
2019-04-01,12
2019-04-02,11
2019-04-03,13
2019-04-04,8
2019-04-05,11
2019-04-06,11
2019-04-07,2
2019-04-08,8
2019-04-09,4
2019-04-10,2
2019-04-11,1
2019-04-12,2
2019-04-13,3
2019-04-14,10
2019-04-15,10
2019-04-16,7
2019-04-17,8
2019-04-18,9
2019-04-19,13
2019-04-20,11
2019-04-21,5
2019-04-22,12
2019-04-23,5
2019-04-24,18
2019-04-25,9
2019-04-26,11
2019-04-27,20
2019-04-28,1
