pickupArea,Percentage
1,0.29
2,0.26
3,0.41
4,0.12
5,0.23
6,2.64
7,2.08
8,20.45
9,0.0
10,0.44
11,0.23
12,0.09
13,0.09
14,0.09
15,0.09
16,1.26
17,0.06
18,0.0
19,0.03
20,0.0
21,0.26
22,0.38
23,0.03
24,1.14
25,0.0
26,0.0
27,0.03
28,9.57
29,0.0
30,0.0
31,0.03
32,37.56
33,9.57
34,0.06
35,0.12
36,0.0
37,0.0
38,0.03
39,0.0
40,0.0
41,0.29
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.82
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.03
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.03
69,0.0
70,0.03
71,0.0
72,0.03
73,0.0
74,0.0
75,0.0
76,5.96
77,0.59
78,4.58
