Date,Count
2019-01-01,30
2019-01-02,12
2019-01-03,17
2019-01-04,20
2019-01-05,17
2019-01-06,20
2019-01-07,20
2019-01-08,22
2019-01-09,14
2019-01-10,27
2019-01-11,20
2019-01-12,18
2019-01-13,18
2019-01-14,17
2019-01-15,18
2019-01-16,20
2019-01-17,13
2019-01-18,28
2019-01-19,23
2019-01-20,22
2019-01-21,14
2019-01-22,24
2019-01-23,26
2019-01-24,17
2019-01-25,31
2019-01-26,24
2019-01-27,18
2019-01-28,31
2019-01-29,24
2019-01-30,9
2019-01-31,18
2019-02-01,40
2019-02-02,30
2019-02-03,19
2019-02-04,16
2019-02-05,20
2019-02-06,19
2019-02-07,18
2019-02-08,41
2019-02-09,52
2019-02-10,21
2019-02-11,23
2019-02-12,22
2019-02-13,31
2019-02-14,19
2019-02-15,35
2019-02-16,30
2019-02-17,27
2019-02-18,14
2019-02-19,19
2019-02-20,28
2019-02-21,23
2019-02-22,27
2019-02-23,20
2019-02-24,14
2019-02-25,19
2019-02-26,20
2019-02-27,15
2019-02-28,15
2019-03-01,21
2019-03-02,35
2019-03-03,23
2019-03-04,30
2019-03-05,16
2019-03-06,22
2019-03-07,30
2019-03-08,25
2019-03-09,23
2019-03-10,20
2019-03-11,18
2019-03-12,17
2019-03-13,17
2019-03-14,34
2019-03-15,19
2019-03-16,28
2019-03-17,30
2019-03-18,20
2019-03-19,18
2019-03-20,30
2019-03-21,26
2019-03-22,29
2019-03-23,22
2019-03-24,20
2019-03-25,18
2019-03-26,13
2019-03-27,24
2019-03-28,20
2019-03-29,25
2019-03-30,18
2019-03-31,19
2019-04-01,20
2019-04-02,20
2019-04-03,15
2019-04-04,24
2019-04-05,32
2019-04-06,27
2019-04-07,14
2019-04-08,15
2019-04-09,17
2019-04-10,18
2019-04-11,15
2019-04-12,26
2019-04-13,26
2019-04-14,18
2019-04-15,19
2019-04-16,18
2019-04-17,15
2019-04-18,21
2019-04-19,15
2019-04-20,25
2019-04-21,15
2019-04-22,17
2019-04-23,12
2019-04-24,19
2019-04-25,21
2019-04-26,14
2019-04-27,25
2019-04-28,12
2019-04-29,16
2019-04-30,20
2019-05-01,19
2019-05-02,21
2019-05-03,41
2019-05-04,28
2019-05-05,14
2019-05-06,18
2019-05-07,26
2019-05-08,22
2019-05-09,24
2019-05-10,40
2019-05-11,23
2019-05-12,21
2019-05-13,18
2019-05-14,18
2019-05-15,21
2019-05-16,23
2019-05-17,20
2019-05-18,28
2019-05-19,18
2019-05-20,26
2019-05-21,26
2019-05-22,16
2019-05-23,18
2019-05-24,27
2019-05-25,26
2019-05-26,15
2019-05-27,12
2019-05-28,14
2019-05-29,14
2019-05-30,22
2019-05-31,32
2019-06-01,36
2019-06-02,20
2019-06-03,20
2019-06-04,28
2019-06-05,19
2019-06-06,24
2019-06-07,34
2019-06-08,35
2019-06-09,19
2019-06-10,18
2019-06-11,16
2019-06-12,15
2019-06-13,25
2019-06-14,28
2019-06-15,27
2019-06-16,21
2019-06-17,16
2019-06-18,17
2019-06-19,19
2019-06-20,20
2019-06-21,34
2019-06-22,23
2019-06-23,18
2019-06-24,13
2019-06-25,11
2019-06-26,21
2019-06-27,39
2019-06-28,28
2019-06-29,40
2019-06-30,41
2019-07-01,18
2019-07-02,24
2019-07-03,24
2019-07-04,21
2019-07-05,19
2019-07-06,16
2019-07-07,14
2019-07-08,18
2019-07-09,22
2019-07-10,20
2019-07-11,16
2019-07-12,24
2019-07-13,31
2019-07-14,21
2019-07-15,16
2019-07-16,21
2019-07-17,16
2019-07-18,19
2019-07-19,26
2019-07-20,43
2019-07-21,18
2019-07-22,13
2019-07-23,23
2019-07-24,20
2019-07-25,11
2019-07-26,17
2019-07-27,14
2019-07-28,19
2019-07-29,21
2019-07-30,15
2019-07-31,19
2019-08-01,20
2019-08-02,28
2019-08-03,20
2019-08-04,19
2019-08-05,22
2019-08-06,19
2019-08-07,18
2019-08-08,23
2019-08-09,19
2019-08-10,25
2019-08-11,22
2019-08-12,22
2019-08-13,20
2019-08-14,18
2019-08-15,20
2019-08-16,24
2019-08-17,22
2019-08-18,10
2019-08-19,15
2019-08-20,17
2019-08-21,10
2019-08-22,17
2019-08-23,24
2019-08-24,25
2019-08-25,15
2019-08-26,15
2019-08-27,24
2019-08-28,22
2019-08-29,20
2019-08-30,16
2019-08-31,23
2019-09-01,9
2019-09-02,18
2019-09-03,25
2019-09-04,30
2019-09-05,24
2019-09-06,20
2019-09-07,15
2019-09-08,13
